,Age,Gender,Item Purchased,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Shipping Type,Promo Code Used,Previous Purchases,Payment Method
0,,Male,Jacket,30.904467042706138,Maine,M,Burnt orange,Fall,Present,Standard,No,0,Credit Card
1,21.0,Female,Backpack,31.58825894107014,,L,Turquoise,Winter,Present,Express,No,1,Credit Card
2,31.0,Male,Leggings,24.23170380112001,Nevada,M,Terra cotta,Winter,Present,Standard,No,0,Credit Card
3,,Male,Pajamas,33.91883420459124,Nebraska,M,Black,Winter,Missing,Standard,No,2,Credit Card
4,38.0,Male,Sunglasses,36.54548675825605,Oregon,S,Aubergine,Summer,Missing,Standard,No,0,Credit Card
5,26.0,Male,Leggings,23.59513940009457,Nevada,XL,Brown,Winter,Missing,Standard,No,3,Credit Card
6,43.0,Male,Dress,34.07901466832033,California,M,Terra cotta,Fall,Present,Standard,No,0,Credit Card
7,29.0,Male,Shorts,23.796438702217987,Minnesota,M,Lavender,Summer,Present,Express,No,0,Credit Card
8,25.0,Female,Jacket,31.59500546693233,Washington,M,Mauve,Fall,Present,Standard,No,4,Credit Card
9,39.0,Female,Shorts,32.374103646420124,Colorado,M,Fuchsia,Summer,Missing,Standard,No,3,Credit Card
10,45.0,Female,Jacket,35.548977999088905,Florida,M,Brown,Winter,Missing,Standard,No,10,Credit Card
11,23.0,Male,Backpack,34.43791821557749,Texas,M,Brown,Winter,Missing,Standard,No,2,Credit Card
12,27.0,Female,Handbag,29.43062017650549,Virginia,XL,Black,Summer,Missing,Standard,No,2,Credit Card
13,32.0,Female,Handbag,34.15135207375548,Delaware,S,White,Summer,Present,Standard,No,11,Credit Card
14,,Male,Shorts,31.961770634789858,Wyoming,L,Pale peach,Spring,Missing,Express,No,8,Credit Card
15,22.0,Female,Pajamas,30.28112537407949,North Dakota,L,Aubergine,Winter,Missing,Standard,No,3,Credit Card
16,41.0,Male,Sweater,24.125612384240817,New Hampshire,M,Burnt orange,Winter,Missing,Standard,No,4,Credit Card
17,45.0,Male,Handbag,23.929249202177274,Utah,L,Fuchsia,Spring,Present,Standard,No,3,Credit Card
18,34.0,Female,Running Shoes,33.05221581546154,Kentucky,S,Fuchsia,Spring,Present,Standard,No,2,Credit Card
19,,Female,Leggings,30.550298245544063,Michigan,M,Burnt orange,Winter,Missing,Next Day Air,No,6,Credit Card
20,35.0,Male,Hoodie,29.422894544804542,Wisconsin,L,Terra cotta,Fall,Present,Express,No,2,Credit Card
21,48.0,Male,Backpack,32.93220742533828,New Mexico,L,Burnt orange,Winter,Present,Standard,No,0,Credit Card
22,,Female,Shorts,22.91476509104395,Mississippi,M,Pale peach,Summer,Missing,Standard,No,8,Credit Card
23,48.0,Male,Backpack,24.64088262275734,,S,Black,Winter,Missing,Standard,No,3,Credit Card
24,31.0,Female,Sunglasses,31.62491258791253,West Virginia,L,Fuchsia,Spring,Present,Express,No,1,Credit Card
25,56.0,Female,Gloves,30.133872566295462,Michigan,L,Brick red,Winter,Present,Standard,No,12,Credit Card
26,30.0,Female,Hoodie,23.884982955117174,Tennessee,M,Terra cotta,Fall,Missing,Next Day Air,No,16,Credit Card
27,29.0,Male,Dress,35.44236181789174,South Carolina,L,Pale peach,Summer,Missing,Standard,No,5,Credit Card
28,31.0,Female,Shorts,31.437097428962293,Kentucky,M,Ruby Red,Fall,Missing,Standard,No,0,Credit Card
29,68.0,Male,Boots,36.56113784800448,,L,Aubergine,Winter,Missing,Standard,No,13,Bank Transfer
30,42.0,Female,Sunglasses,28.85216053714169,Virginia,M,Lavender,Spring,Present,Standard,No,5,Credit Card
31,18.0,Female,Leggings,25.4053441138384,California,M,Aubergine,Winter,Present,Standard,No,0,Credit Card
32,29.0,Male,Socks,26.478229671390853,Mississippi,L,Aubergine,Winter,Present,Standard,No,13,Credit Card
33,41.0,Female,Scarf,23.79954146735968,Alabama,S,Mauve,Winter,Missing,Standard,No,3,Credit Card
34,22.0,Male,T-shirt,20.906412762688294,New Hampshire,XL,Baby blue,Summer,Missing,Standard,No,4,Credit Card
35,,Male,Sunglasses,25.33857425282861,Pennsylvania,M,Lavender,Summer,Present,Standard,No,14,Credit Card
36,50.0,Female,Dress,27.930929295771023,Kansas,M,Periwinkle,Summer,Present,Standard,No,4,Credit Card
37,,Male,T-shirt,36.329169106391,Alaska,S,Periwinkle,Summer,Missing,Standard,No,2,Credit Card
38,43.0,Male,Handbag,24.844487541982343,South Carolina,XL,Lemon yellow,Summer,Missing,Next Day Air,No,0,Credit Card
39,29.0,Male,Hoodie,37.026951924698565,Connecticut,M,Muted mustard yellow,Winter,Missing,Standard,No,1,Credit Card
40,34.0,Male,Hoodie,26.05136896879994,,M,Mauve,Winter,Present,Standard,No,3,Credit Card
41,47.0,Male,T-shirt,35.6318247126098,Massachusetts,L,Fuchsia,Spring,Present,Standard,No,6,Credit Card
42,36.0,Female,Scarf,44.03244410744036,Florida,L,Muted mustard yellow,Winter,Missing,Standard,No,2,Credit Card
43,24.0,Non-binary,Hoodie,31.39146688042943,,L,Muted mustard yellow,Winter,Missing,Standard,No,0,Credit Card
44,,Male,Sweater,34.14560502445179,California,M,Brown,Winter,Present,Standard,No,7,Credit Card
45,40.0,Female,Running Shoes,39.67097197648154,Missouri,XL,Fuchsia,Spring,Missing,Standard,No,1,Credit Card
46,41.0,Female,T-shirt,15.424669072035869,Alaska,XL,Mauve,Fall,Missing,Express,No,0,Credit Card
47,21.0,Male,Handbag,36.140895354489295,Ohio,XL,Baby blue,Summer,Missing,Standard,No,4,Credit Card
48,59.0,Male,Leggings,29.65332933058636,Utah,L,Ruby Red,Winter,Present,Express,No,2,Credit Card
49,32.0,Female,Running Shoes,29.06375642786521,,M,Mauve,Summer,Missing,Standard,No,9,Credit Card
50,31.0,Male,Sweater,31.655074499486016,Nebraska,M,Ruby Red,Winter,Present,Standard,No,3,Credit Card
51,41.0,Male,Belt,32.226532927431435,Nevada,S,Burnt orange,Fall,Missing,Standard,No,3,Credit Card
52,42.0,Female,Dress,17.09816094878804,Colorado,M,Aubergine,Fall,Missing,Standard,No,5,Credit Card
53,23.0,Male,Handbag,24.41007785561596,Montana,M,White,Summer,Missing,Standard,No,20,Credit Card
54,30.0,Male,Sunglasses,32.121026275834794,Georgia,L,Baby blue,Summer,Present,Standard,No,7,Credit Card
55,44.0,Male,Sunglasses,31.41936438947017,New Jersey,XL,Mauve,Spring,Missing,Standard,No,1,Credit Card
56,38.0,Female,T-shirt,32.472114305870136,Nebraska,S,Lavender,Summer,Present,Standard,No,3,Credit Card
57,52.0,Male,Backpack,21.544867568344717,North Dakota,M,Brick red,Winter,Missing,Standard,No,13,Credit Card
58,21.0,Non-binary,Shorts,22.842739224029664,Wisconsin,L,Lemon yellow,Summer,Present,Standard,No,15,Credit Card
59,39.0,Female,Sweater,31.70655988802093,Maryland,M,Brown,Winter,Present,Standard,No,0,Credit Card
60,23.0,Male,Gloves,26.853357979586445,Alaska,XL,Mauve,Winter,Present,Standard,No,11,Credit Card
61,28.0,Female,T-shirt,20.77754774021777,Colorado,M,Ruby Red,Spring,Missing,Standard,No,2,Credit Card
