Age,Gender,Item Purchased,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Shipping Type,Promo Code Used,Previous Purchases,Payment Method
31.0,Male,Leggings,24.23170380112001,Nevada,M,Terra cotta,Winter,Present,Standard,No,0,Credit Card
38.0,Male,Sunglasses,36.54548675825605,Oregon,S,Aubergine,Summer,Missing,Standard,No,0,Credit Card
26.0,Male,Leggings,23.59513940009457,Nevada,XL,Brown,Winter,Missing,Standard,No,3,Credit Card
43.0,Male,Dress,34.07901466832033,California,M,Terra cotta,Fall,Present,Standard,No,0,Credit Card
29.0,Male,Shorts,23.796438702217987,Minnesota,M,Lavender,Summer,Present,Express,No,0,Credit Card
25.0,Female,Jacket,31.59500546693233,Washington,M,Mauve,Fall,Present,Standard,No,4,Credit Card
39.0,Female,Shorts,32.374103646420124,Colorado,M,Fuchsia,Summer,Missing,Standard,No,3,Credit Card
45.0,Female,Jacket,35.548977999088905,Florida,M,Brown,Winter,Missing,Standard,No,10,Credit Card
23.0,Male,Backpack,34.43791821557749,Texas,M,Brown,Winter,Missing,Standard,No,2,Credit Card
27.0,Female,Handbag,29.43062017650549,Virginia,XL,Black,Summer,Missing,Standard,No,2,Credit Card
32.0,Female,Handbag,34.15135207375548,Delaware,S,White,Summer,Present,Standard,No,11,Credit Card
22.0,Female,Pajamas,30.28112537407949,North Dakota,L,Aubergine,Winter,Missing,Standard,No,3,Credit Card
41.0,Male,Sweater,24.125612384240817,New Hampshire,M,Burnt orange,Winter,Missing,Standard,No,4,Credit Card
45.0,Male,Handbag,23.929249202177274,Utah,L,Fuchsia,Spring,Present,Standard,No,3,Credit Card
34.0,Female,Running Shoes,33.05221581546154,Kentucky,S,Fuchsia,Spring,Present,Standard,No,2,Credit Card
35.0,Male,Hoodie,29.422894544804542,Wisconsin,L,Terra cotta,Fall,Present,Express,No,2,Credit Card
48.0,Male,Backpack,32.93220742533828,New Mexico,L,Burnt orange,Winter,Present,Standard,No,0,Credit Card
31.0,Female,Sunglasses,31.62491258791253,West Virginia,L,Fuchsia,Spring,Present,Express,No,1,Credit Card
56.0,Female,Gloves,30.133872566295462,Michigan,L,Brick red,Winter,Present,Standard,No,12,Credit Card
30.0,Female,Hoodie,23.884982955117174,Tennessee,M,Terra cotta,Fall,Missing,Next Day Air,No,16,Credit Card
29.0,Male,Dress,35.44236181789174,South Carolina,L,Pale peach,Summer,Missing,Standard,No,5,Credit Card
31.0,Female,Shorts,31.437097428962293,Kentucky,M,Ruby Red,Fall,Missing,Standard,No,0,Credit Card
42.0,Female,Sunglasses,28.85216053714169,Virginia,M,Lavender,Spring,Present,Standard,No,5,Credit Card
18.0,Female,Leggings,25.4053441138384,California,M,Aubergine,Winter,Present,Standard,No,0,Credit Card
29.0,Male,Socks,26.478229671390853,Mississippi,L,Aubergine,Winter,Present,Standard,No,13,Credit Card
